Question ID,Audio ID,Audio Path,Source ID,Question,Options,Correct Answer,Accepted Answers,Marks,Response Type,Feedback / Teaching Point,Difficulty,Composer,Work,Instrument,Source / Provider,Licence Type,Review Status
MDV080,MDA080,audio/melodic-devices/MDA080.mp3,MEL-068,What term describes the sliding/gliding ornamentation heard between notes on the melody instrument?,Meend | Tān | Gamak | Alap,Meend,Meend,1,Multiple choice,Meend is the sliding/gliding ornamentation connecting notes.,Securing,,Khamaj Ki Dhun,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV081,MDA081,audio/melodic-devices/MDA081.mp3,MEL-070,Which scale is used for the melody in this extract?,Pentatonic | Chromatic | Whole-tone | Twelve-bar blues,Pentatonic,Pentatonic,1,Multiple choice,The melody uses the pentatonic scale.,Developing,,Spring Bamboo Market,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV082,MDA082,audio/melodic-devices/MDA082.mp3,MEL-071,Describe one type of melodic ornamentation used by an instrument in this extract.,,"Portamento/glissando on the erhu, tremolo on the pipa, or grace notes/pitch-bends on the dizi.","Portamento/glissando on the erhu, tremolo on the pipa, or grace notes/pitch-bends on the dizi.",2,Written response,"Ornaments such as portamento/glissando, tremolo or grace notes/pitch-bends decorate the melody on instruments like the erhu, pipa or dizi.",Securing,,Spring Bamboo Market,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV083,MDA083,audio/melodic-devices/MDA083.mp3,MEL-073,Which scale is used for the melody in this extract?,Pentatonic | Chromatic | Whole-tone | Twelve-bar blues,Pentatonic,Pentatonic,1,Multiple choice,The melody uses the pentatonic scale.,Developing,,Jiangnan Sizhu Yu (江南丝竹雨),,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV084,MDA084,audio/melodic-devices/MDA084.mp3,MEL-076,Which of the following best describes the scale/mode system used in this extract?,Maqām | Major scale | Pentatonic scale | Whole-tone scale,Maqām,Maqām,1,Multiple choice,The melody is organised using a maqām — a mode including pitches outside the Western 12-note system.,Securing,,Hijaz Courtyard,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV085,MDA085,audio/melodic-devices/MDA085.mp3,MEL-079,Which of the following best describes the scale/mode system used in this extract?,Maqām | Major scale | Pentatonic scale | Whole-tone scale,Maqām,Maqām,1,Multiple choice,The melody is organised using a maqām — a mode including pitches outside the Western 12-note system.,Securing,,Ya Layl Ya Oud (يا ليل يا عود),,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV086,MDA086,audio/melodic-devices/MDA086.mp3,MEL-080,What features of the melodic ornamentation are typical of Arab classical/traditional music?,,"Quarter-tone pitch inflections, pitch-bends, and rapid melismatic runs, especially decorating cadence points.","Quarter-tone pitch inflections, pitch-bends, and rapid melismatic runs, especially decorating cadence points.",2,Written response,"Arab melodic ornamentation typically uses quarter-tone inflections and melismatic runs, especially at cadence points.",Mastering,,Ya Layl Ya Oud (يا ليل يا عود),,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV087,MDA087,audio/melodic-devices/MDA087.mp3,MEL-082,Which of the following best describes the scale/mode system used in this extract?,Maqām | Major scale | Pentatonic scale | Whole-tone scale,Maqām,Maqām,1,Multiple choice,The melody is organised using a maqām — a mode including pitches outside the Western 12-note system.,Securing,,Saba Taqsim,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV088,MDA088,audio/melodic-devices/MDA088.mp3,II190,What ornament can be heard in the following extract?,Trill | Mordent | Turn | Acciaccatura,Trill,Trill,1,Multiple choice,A rapid alternation between the main note and the note above creates a trill.,Developing,Faure,Fantasia Op. 79 Andantino,,MusOpen,PD,Reused audio from Instrument Identifier II190; MusOpen; rights: PD.,Reviewed in Instrument Identifier level review on 2026-08-10.
MDV089,MDA089,audio/melodic-devices/MDA089.mp3,II245,Which melodic device can be heard in the extract?,Descending sequence | Ascending sequence | Ostinato | Imitation,Descending sequence,Descending sequence,1,Multiple choice,The melodic pattern is repeated at different pitch levels, moving downwards.,Securing,Telemann,Oboe Concerto TWV 51,,MusOpen,PD,Reused audio from Instrument Identifier II245; re-trimmed from 7 seconds; rights: MusOpen PD.,Reviewed in Instrument Identifier level review on 2026-08-10.
MDV090,MDA090,audio/melodic-devices/MDA090.mp3,WSB003,Name the tonality of this extract.,Whole tone | Major | Minor | Modal,Modal,Modal,1,Multiple choice,Unaccompanied Latin plainchant in a Phrygian-family Gregorian mode (Mode IV / Hypophrygian) rather than major/minor tonality -- modal.,Securing,,Resurrexi et Adhuc Tecum Sum (Easter Introit),,Wikimedia Commons (The Tudor Consort),CC BY 3.0,New import from World Scales styles batch (WSB) -- not yet aurally reviewed.
MDV091,MDA091,audio/melodic-devices/MDA091.mp3,WSB015,What ornamentation is frequently used in the following extract?,Trill | Turn | Slur | Meend,Meend,Meend,1,Multiple choice,Meend is the sliding continuous glide between pitches characteristic of Hindustani classical vocal and instrumental ornamentation.,Securing,Traditional Hindustani classical,Rag Miyan Malhar,"Voice, tabla, tanpura/harmonium",Wikimedia Commons (NCERT OFFICIAL),CC BY 3.0,New import from World Scales styles batch (WSB) -- not yet aurally reviewed.
MDV101,MDA101,audio/melodic-devices/MDA101.mp3,,Which option best describes the melody in this extract?,Imitation | Ostinato | Sequence | Repetition,Imitation,Imitation,1,Multiple choice,"This is a canon at the unison: the second voice enters singing the exact same melody at the exact same pitch, just delayed — the clearest possible example of imitation.",Mastering,J. S. Bach,"Goldberg Variations, BWV 988",Harpsichord,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
MDV102,MDA102,audio/melodic-devices/MDA102.mp3,,Which option best describes the melody in this extract?,Imitation | Sequence | Ostinato | Repetition,Imitation,Imitation,1,Multiple choice,"This is a canon at the second: the second voice imitates the first, entering one step higher — imitation, not free sequence, because the melodic material itself is copied exactly.",Securing,J. S. Bach,"Goldberg Variations, BWV 988",Harpsichord,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
MDV106,MDA106,audio/melodic-devices/MDA106.mp3,,Which option best describes the melody in this extract?,Imitation | Ostinato | Sequence | Repetition,Imitation,Imitation,1,Multiple choice,"This is a canon at the sixth: the second voice imitates the first melody exactly, a sixth higher.",Securing,J. S. Bach,"Goldberg Variations, BWV 988",Harpsichord,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
MDV112,MDA112,audio/melodic-devices/MDA112.mp3,,Which option best describes the melody in this extract?,Scalic | Broken chord | In leaps | Chromatic,Scalic,Scalic,1,Multiple choice,"Mozart's overture launches straight into a famous rushing, scale-based Presto passage — unusually for an opera overture of its time, with no slow introduction at all.",Developing,Wolfgang Amadeus Mozart,"The Marriage of Figaro, K. 492: Overture",Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
MDV115,MDA115,audio/melodic-devices/MDA115.mp3,,Which option best describes the melody in this extract?,Scalic | In leaps | Chromatic | Ostinato,Scalic,Scalic,1,Multiple choice,The piece is based on a hymn tune (the St Wenceslas chorale) — hymn melodies are conventionally simple and move mostly by step.,Foundation,Josef Suk,"Meditation on an Old Czech Chorale ('St Wenceslas'), Op. 35a",String orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
MDV116,MDA116,audio/melodic-devices/MDA116.mp3,,Which option best describes the melody in this extract?,Scalic | In leaps | Chromatic | Ostinato,Scalic,Scalic,1,Multiple choice,"Schubert's piano sonata melodies are known for their singing, lyrical quality, typically moving mostly by step rather than in wide leaps.",Foundation,Franz Schubert,"Piano Sonata in A major, D. 664",Piano,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
MDV117,MDA117,audio/melodic-devices/MDA117.mp3,,Which option best describes the melody in this extract?,Scalic | In leaps | Chromatic | Ostinato,Scalic,Scalic,1,Multiple choice,"As with much of Schubert's piano writing, the opening idea is lyrical and largely stepwise rather than built from wide leaps.",Developing,Franz Schubert,"Piano Sonata in D major, D. 850",Piano,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
MDV120,MDA120,audio/melodic-devices/MDA120.mp3,,Which option best describes the melody in this extract?,Scalic | Broken chord | In leaps | Chromatic,Scalic,Scalic,1,Multiple choice,"After the overture's famous slow, chordal opening, the fast fugal Allegro that follows is built from running scalic passages.",Developing,Wolfgang Amadeus Mozart,"The Magic Flute, K. 620: Overture",Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0,Reviewed 2026-08-20
