question_id,concept_code,element,subskill,level,level_order,introduced_at_level,question_type,marks,shuffle_options,term,symbol_display,term_type,meaning,cie_status,cie_requirement,cambridge_source_page,source_url,prompt,options,correct_answer,accepted_answers,mark_scheme,feedback,common_confusions,visual_asset,visual_kind,requires_score_context,score_context_template,audio_required,eligible_modes,progress_skill_code,teacher_tags,status,notes
ML-TEM-RALL-S,TEM-RALL,Tempo,tempo-markings,Securing,3,Foundation,short_answer,1,No,rallentando,rall.,tempo_change,gradually getting slower,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: gradually getting slower.,,rallentando,rallentando|rall|rall.,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: rallentando.,accelerando|rubato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-RALL-M,TEM-RALL,Tempo,tempo-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,rallentando,rall.,tempo_change,gradually getting slower,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,rallentando: gradually getting slower,rallentando|rall|rall.,1 mark for identifying rallentando; 1 mark for a valid description of its effect: gradually getting slower.,"For full marks, name the marking and explain its musical effect. Rallentando: gradually getting slower.",accelerando|rubato,,text,Yes,Show rall. above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-RUBATO-F,TEM-RUBATO,Tempo,tempo-markings,Foundation,1,Securing,multiple_choice,1,Yes,rubato,rubato,tempo_change,"flexible tempo for expression, with slight speeding up and slowing down",explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does rubato mean?,"flexible tempo for expression, with slight speeding up and slowing down | gradually getting slower | gradually getting faster | broad and very slow","flexible tempo for expression, with slight speeding up and slowing down",rubato|tempo rubato,1 mark for the correct meaning.,"Rubato means flexible tempo for expression, with slight speeding up and slowing down.",rallentando|accelerando,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,locked_until_level,
ML-TEM-RUBATO-D,TEM-RUBATO,Tempo,tempo-markings,Developing,2,Securing,multiple_choice_reverse,1,Yes,rubato,rubato,tempo_change,"flexible tempo for expression, with slight speeding up and slowing down",explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Which term or marking means: flexible tempo for expression, with slight speeding up and slowing down?",rubato | rallentando | accelerando | largo,rubato,rubato|tempo rubato,1 mark for the correct term or marking.,The correct answer is rubato (rubato).,rallentando|accelerando,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,locked_until_level,
ML-TEM-RUBATO-S,TEM-RUBATO,Tempo,tempo-markings,Securing,3,Securing,short_answer,1,No,rubato,rubato,tempo_change,"flexible tempo for expression, with slight speeding up and slowing down",explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Give the musical term or marking that tells a performer: flexible tempo for expression, with slight speeding up and slowing down.",,rubato,rubato|tempo rubato,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: rubato.,rallentando|accelerando,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-RUBATO-M,TEM-RUBATO,Tempo,tempo-markings,Mastering,4,Securing,exam_style_short_answer,2,No,rubato,rubato,tempo_change,"flexible tempo for expression, with slight speeding up and slowing down",explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,"rubato: flexible tempo for expression, with slight speeding up and slowing down",rubato|tempo rubato,"1 mark for identifying rubato; 1 mark for a valid description of its effect: flexible tempo for expression, with slight speeding up and slowing down.","For full marks, name the marking and explain its musical effect. Rubato: flexible tempo for expression, with slight speeding up and slowing down.",rallentando|accelerando,,text,Yes,Show rubato above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-BPM-F,TEM-BPM,Tempo,tempo-markings,Foundation,1,Developing,multiple_choice,1,Yes,BPM,♩ = 120,metronome_mark,beats per minute; a numerical measurement of tempo,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does ♩ = 120 mean?,beats per minute; a numerical measurement of tempo | broad and very slow | slow | at a walking pace,beats per minute; a numerical measurement of tempo,bpm|beats per minute,1 mark for the correct meaning.,Bpm means beats per minute; a numerical measurement of tempo.,time signature|beat unit,assets/symbols/tempo/bpm-example.svg,asset,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,locked_until_level,
ML-TEM-BPM-D,TEM-BPM,Tempo,tempo-markings,Developing,2,Developing,multiple_choice_reverse,1,Yes,BPM,♩ = 120,metronome_mark,beats per minute; a numerical measurement of tempo,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: beats per minute; a numerical measurement of tempo?,BPM | time signature | beat unit | largo,BPM,bpm|beats per minute,1 mark for the correct term or marking.,The correct answer is BPM (♩ = 120).,time signature|beat unit,assets/symbols/tempo/bpm-example.svg,asset,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-BPM-S,TEM-BPM,Tempo,tempo-markings,Securing,3,Developing,short_answer,1,No,BPM,♩ = 120,metronome_mark,beats per minute; a numerical measurement of tempo,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: beats per minute; a numerical measurement of tempo.,,BPM,bpm|beats per minute,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: BPM.,time signature|beat unit,assets/symbols/tempo/bpm-example.svg,asset,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-BPM-M,TEM-BPM,Tempo,tempo-markings,Mastering,4,Developing,exam_style_short_answer,2,No,BPM,♩ = 120,metronome_mark,beats per minute; a numerical measurement of tempo,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,BPM: beats per minute; a numerical measurement of tempo,bpm|beats per minute,1 mark for identifying BPM; 1 mark for a valid description of its effect: beats per minute; a numerical measurement of tempo.,"For full marks, name the marking and explain its musical effect. Bpm: beats per minute; a numerical measurement of tempo.",time signature|beat unit,assets/symbols/tempo/bpm-example.svg,asset,Yes,Show ♩ = 120 above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-PP-F,DYN-PP,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,pianissimo,pp,dynamic_mark,very quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does pp mean?,very quiet | quiet | moderately quiet | moderately loud,very quiet,pianissimo|pp|very quiet|very soft,1 mark for the correct meaning.,Pianissimo means very quiet.,piano|mezzo piano,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
ML-DYN-PP-D,DYN-PP,Dynamics,dynamic-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,pianissimo,pp,dynamic_mark,very quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: very quiet?,pianissimo | piano | mezzo piano | mezzo forte,pianissimo,pianissimo|pp|very quiet|very soft,1 mark for the correct term or marking.,The correct answer is pianissimo (pp).,piano|mezzo piano,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | developing,active,
ML-DYN-PP-S,DYN-PP,Dynamics,dynamic-markings,Securing,3,Foundation,short_answer,1,No,pianissimo,pp,dynamic_mark,very quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: very quiet.,,pianissimo,pianissimo|pp|very quiet|very soft,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: pianissimo.,piano|mezzo piano,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | securing,active,
ML-DYN-PP-M,DYN-PP,Dynamics,dynamic-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,pianissimo,pp,dynamic_mark,very quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how the dynamics should change or be performed.,,pianissimo: very quiet,pianissimo|pp|very quiet|very soft,1 mark for identifying pianissimo; 1 mark for a valid description of its effect: very quiet.,"For full marks, name the marking and explain its musical effect. Pianissimo: very quiet.",piano|mezzo piano,,text,Yes,Show pp in a short score fragment.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-P-F,DYN-P,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,piano,p,dynamic_mark,quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does p mean?,quiet | very quiet | moderately quiet | moderately loud,quiet,piano|p|quiet|soft,1 mark for the correct meaning.,Piano means quiet.,pianissimo|mezzo piano,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
ML-DYN-P-D,DYN-P,Dynamics,dynamic-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,piano,p,dynamic_mark,quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: quiet?,piano | pianissimo | mezzo piano | mezzo forte,piano,piano|p|quiet|soft,1 mark for the correct term or marking.,The correct answer is piano (p).,pianissimo|mezzo piano,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | developing,active,
ML-DYN-P-S,DYN-P,Dynamics,dynamic-markings,Securing,3,Foundation,short_answer,1,No,piano,p,dynamic_mark,quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: quiet.,,piano,piano|p|quiet|soft,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: piano.,pianissimo|mezzo piano,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | securing,active,
ML-DYN-P-M,DYN-P,Dynamics,dynamic-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,piano,p,dynamic_mark,quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how the dynamics should change or be performed.,,piano: quiet,piano|p|quiet|soft,1 mark for identifying piano; 1 mark for a valid description of its effect: quiet.,"For full marks, name the marking and explain its musical effect. Piano: quiet.",pianissimo|mezzo piano,,text,Yes,Show p in a short score fragment.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-MP-F,DYN-MP,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,mezzo piano,mp,dynamic_mark,moderately quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does mp mean?,moderately quiet | quiet | moderately loud | very quiet,moderately quiet,mezzo piano|mp|moderately quiet|moderately soft,1 mark for the correct meaning.,Mezzo piano means moderately quiet.,piano|mezzo forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
ML-DYN-MP-D,DYN-MP,Dynamics,dynamic-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,mezzo piano,mp,dynamic_mark,moderately quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: moderately quiet?,mezzo piano | piano | mezzo forte | pianissimo,mezzo piano,mezzo piano|mp|moderately quiet|moderately soft,1 mark for the correct term or marking.,The correct answer is mezzo piano (mp).,piano|mezzo forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | developing,active,
ML-DYN-MP-S,DYN-MP,Dynamics,dynamic-markings,Securing,3,Foundation,short_answer,1,No,mezzo piano,mp,dynamic_mark,moderately quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: moderately quiet.,,mezzo piano,mezzo piano|mp|moderately quiet|moderately soft,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: mezzo piano.,piano|mezzo forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | securing,active,
ML-DYN-MP-M,DYN-MP,Dynamics,dynamic-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,mezzo piano,mp,dynamic_mark,moderately quiet,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how the dynamics should change or be performed.,,mezzo piano: moderately quiet,mezzo piano|mp|moderately quiet|moderately soft,1 mark for identifying mezzo piano; 1 mark for a valid description of its effect: moderately quiet.,"For full marks, name the marking and explain its musical effect. Mezzo piano: moderately quiet.",piano|mezzo forte,,text,Yes,Show mp in a short score fragment.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-MF-F,DYN-MF,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,mezzo forte,mf,dynamic_mark,moderately loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does mf mean?,moderately loud | moderately quiet | loud | very quiet,moderately loud,mezzo forte|mf|moderately loud,1 mark for the correct meaning.,Mezzo forte means moderately loud.,mezzo piano|forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
ML-DYN-MF-D,DYN-MF,Dynamics,dynamic-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,mezzo forte,mf,dynamic_mark,moderately loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: moderately loud?,mezzo forte | mezzo piano | forte | pianissimo,mezzo forte,mezzo forte|mf|moderately loud,1 mark for the correct term or marking.,The correct answer is mezzo forte (mf).,mezzo piano|forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | developing,active,
ML-DYN-MF-S,DYN-MF,Dynamics,dynamic-markings,Securing,3,Foundation,short_answer,1,No,mezzo forte,mf,dynamic_mark,moderately loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: moderately loud.,,mezzo forte,mezzo forte|mf|moderately loud,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: mezzo forte.,mezzo piano|forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | securing,active,
ML-DYN-MF-M,DYN-MF,Dynamics,dynamic-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,mezzo forte,mf,dynamic_mark,moderately loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how the dynamics should change or be performed.,,mezzo forte: moderately loud,mezzo forte|mf|moderately loud,1 mark for identifying mezzo forte; 1 mark for a valid description of its effect: moderately loud.,"For full marks, name the marking and explain its musical effect. Mezzo forte: moderately loud.",mezzo piano|forte,,text,Yes,Show mf in a short score fragment.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-F-F,DYN-F,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,forte,f,dynamic_mark,loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does f mean?,loud | moderately loud | very loud | very quiet,loud,forte|f|loud,1 mark for the correct meaning.,Forte means loud.,mezzo forte|fortissimo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
ML-DYN-F-D,DYN-F,Dynamics,dynamic-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,forte,f,dynamic_mark,loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: loud?,forte | mezzo forte | fortissimo | pianissimo,forte,forte|f|loud,1 mark for the correct term or marking.,The correct answer is forte (f).,mezzo forte|fortissimo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | developing,active,
ML-DYN-F-S,DYN-F,Dynamics,dynamic-markings,Securing,3,Foundation,short_answer,1,No,forte,f,dynamic_mark,loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: loud.,,forte,forte|f|loud,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: forte.,mezzo forte|fortissimo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | securing,active,
ML-DYN-F-M,DYN-F,Dynamics,dynamic-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,forte,f,dynamic_mark,loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how the dynamics should change or be performed.,,forte: loud,forte|f|loud,1 mark for identifying forte; 1 mark for a valid description of its effect: loud.,"For full marks, name the marking and explain its musical effect. Forte: loud.",mezzo forte|fortissimo,,text,Yes,Show f in a short score fragment.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-FF-F,DYN-FF,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,fortissimo,ff,dynamic_mark,very loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does ff mean?,very loud | loud | moderately loud | very quiet,very loud,fortissimo|ff|very loud,1 mark for the correct meaning.,Fortissimo means very loud.,forte|mezzo forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
ML-DYN-FF-D,DYN-FF,Dynamics,dynamic-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,fortissimo,ff,dynamic_mark,very loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: very loud?,fortissimo | forte | mezzo forte | pianissimo,fortissimo,fortissimo|ff|very loud,1 mark for the correct term or marking.,The correct answer is fortissimo (ff).,forte|mezzo forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | developing,active,
ML-DYN-FF-S,DYN-FF,Dynamics,dynamic-markings,Securing,3,Foundation,short_answer,1,No,fortissimo,ff,dynamic_mark,very loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: very loud.,,fortissimo,fortissimo|ff|very loud,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: fortissimo.,forte|mezzo forte,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | securing,active,
ML-DYN-FF-M,DYN-FF,Dynamics,dynamic-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,fortissimo,ff,dynamic_mark,very loud,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how the dynamics should change or be performed.,,fortissimo: very loud,fortissimo|ff|very loud,1 mark for identifying fortissimo; 1 mark for a valid description of its effect: very loud.,"For full marks, name the marking and explain its musical effect. Fortissimo: very loud.",forte|mezzo forte,,text,Yes,Show ff in a short score fragment.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-CRESC-F,DYN-CRESC,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,crescendo,hairpin < / cresc.,dynamic_change,gradually getting louder,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does hairpin < / cresc. mean?,gradually getting louder | gradually getting quieter | loud | very quiet,gradually getting louder,crescendo|cresc|cresc.|gradually louder|getting louder,1 mark for the correct meaning.,Crescendo means gradually getting louder.,diminuendo|forte,assets/symbols/dynamics/crescendo.svg,asset,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
ML-DYN-CRESC-D,DYN-CRESC,Dynamics,dynamic-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,crescendo,hairpin < / cresc.,dynamic_change,gradually getting louder,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: gradually getting louder?,crescendo | diminuendo | forte | pianissimo,crescendo,crescendo|cresc|cresc.|gradually louder|getting louder,1 mark for the correct term or marking.,The correct answer is crescendo (hairpin < / cresc.).,diminuendo|forte,assets/symbols/dynamics/crescendo.svg,asset,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | developing,active,
ML-DYN-CRESC-S,DYN-CRESC,Dynamics,dynamic-markings,Securing,3,Foundation,short_answer,1,No,crescendo,hairpin < / cresc.,dynamic_change,gradually getting louder,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: gradually getting louder.,,crescendo,crescendo|cresc|cresc.|gradually louder|getting louder,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: crescendo.,diminuendo|forte,assets/symbols/dynamics/crescendo.svg,asset,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | securing,active,
ML-DYN-CRESC-M,DYN-CRESC,Dynamics,dynamic-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,crescendo,hairpin < / cresc.,dynamic_change,gradually getting louder,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how the dynamics should change or be performed.,,crescendo: gradually getting louder,crescendo|cresc|cresc.|gradually louder|getting louder,1 mark for identifying crescendo; 1 mark for a valid description of its effect: gradually getting louder.,"For full marks, name the marking and explain its musical effect. Crescendo: gradually getting louder.",diminuendo|forte,assets/symbols/dynamics/crescendo.svg,asset,Yes,Show hairpin < / cresc. in a short score fragment.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | mastering,active,Mastering rows require score/symbol assets before production.
ML-DYN-DIM-F,DYN-DIM,Dynamics,dynamic-markings,Foundation,1,Foundation,multiple_choice,1,Yes,diminuendo,hairpin > / dim.,dynamic_change,gradually getting quieter,explicit,"Recognise dynamic markings, crescendo, diminuendo and terraced dynamics.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does hairpin > / dim. mean?,gradually getting quieter | gradually getting louder | quiet | very quiet,gradually getting quieter,diminuendo|dim|dim.|decrescendo|gradually quieter|getting quieter,1 mark for the correct meaning.,Diminuendo means gradually getting quieter.,crescendo|piano,assets/symbols/dynamics/diminuendo.svg,asset,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-DYNAMICS,musical-language | dynamics | foundation,active,
